species,n_records,n_presence_patches,auc_mean,auc_std,accuracy_mean,precision_mean,recall_mean,f1_mean,mcc_mean,kappa_mean,tss_mean
Rumex obtusifolius,1657,1273,0.8141311329890326,0.01831935026639571,0.795370282896094,0.7032863754602886,0.31423807318202873,0.43430339766343906,0.3711427731739657,0.33099701851436797,0.26998968743549223
Diphyscium foliosum,25,23,0.8140659340659342,0.09996171226933062,0.7725146198830408,0.6,0.31,0.3952380952380952,0.30648447861680955,0.2767368540045985,0.23857142857142857
Scapania undulata,54,34,0.8140589569160998,0.09473501183016775,0.7791005291005291,0.58,0.24285714285714283,0.3333333333333333,0.2900616743119405,0.2508464367889302,0.2028571428571428
Orobanche teucrii,77,56,0.8139496569977853,0.031751302660901745,0.781212121212121,0.6866666666666666,0.26969696969696966,0.37875350140056024,0.323925824696039,0.2756529833326951,0.22210338680926917
Clinopodium vulgare,4311,2883,0.8139496278279559,0.011933093354367841,0.800816399878044,0.6811157065021621,0.381223522048912,0.4882078902143786,0.40153791790382803,0.3768771120706348,0.3219100761397861
Galeopsis ladanum,54,42,0.8136452991452992,0.0658364251362187,0.8274509803921569,0.9666666666666668,0.33055555555555555,0.4751515151515151,0.4944060890789944,0.4044791399355698,0.3225555555555556
Neottia ovata,3571,1948,0.81344928678516,0.014055126357884003,0.7992830564340889,0.706803406606333,0.33830993342561466,0.45726908998629606,0.38862205726568916,0.3524009224757541,0.291255168200683
Achillea nobilis,623,501,0.8133259221736127,0.018317121765898788,0.7834389027431421,0.6436603493125233,0.2994257425742574,0.4078332084066557,0.32955208850250006,0.29673513949207936,0.2442097957304036
Lamium maculatum,2643,1911,0.8133127562978666,0.013613290495716968,0.7875453278500475,0.6457439868109456,0.3333424466529055,0.43954105665566195,0.3516881879647352,0.3245790107789053,0.27229039646050746
Tussilago farfara,10264,6318,0.8131176064525661,0.008401438737608586,0.7959403819559832,0.6612167904842668,0.37638596570351884,0.4795436693257691,0.38684105479051833,0.36440722827623245,0.3121778182302294
Rumex hydrolapathum,39,29,0.8130283224400872,0.060063964714501684,0.8108695652173914,0.7,0.4533333333333333,0.5466666666666666,0.45271241513024574,0.4339162623278602,0.3847058823529411
Acorus calamus,44,26,0.813,0.05529868393049192,0.75,0.55,0.2333333333333333,0.3230158730158729,0.22795839300491538,0.19645096795786435,0.15666666666666665
Triticum turgidum,31,31,0.8129211918685602,0.10294412933895225,0.7666666666666667,0.5,0.1952380952380952,0.2777777777777778,0.22326685543810876,0.190588993634679,0.15254803675856304
Brachythecium rivulare,103,67,0.8128611632270168,0.026794388809113463,0.7612159329140461,0.5833333333333333,0.15054945054945054,0.23856209150326796,0.20247719359375208,0.15351096949079537,0.1155494505494505
Veronica serpyllifolia,1200,959,0.8127852122036531,0.015678108903670353,0.7935306660147762,0.6890700104493208,0.31167102966841187,0.4277534636970001,0.36233018444018245,0.32421026295338934,0.2657869716973974
Pyrola media,71,57,0.8127438248026483,0.07267708119377059,0.7631884057971015,0.5595238095238095,0.26515151515151514,0.3548366013071895,0.25978853788961964,0.23396474220514313,0.19473134708428824
Lathyrus pratensis,3184,2157,0.8125992045184812,0.011027331558433098,0.7902182813575831,0.6808652415776505,0.30366718226347,0.4198203036458201,0.3523096385208605,0.31400305647855076,0.256071089814209
Potentilla norvegica,29,20,0.8125,0.0959238702768445,0.75,0.0,0.0,0.0,0.0,0.0,0.0
Silene flos-cuculi,1989,1330,0.8124107260632785,0.006365597733820898,0.78703007518797,0.6815465710166051,0.2789473684210526,0.39391542826603676,0.33555904975716133,0.2921037886954046,0.23533834586466162
Malus domestica,140,109,0.8123293877839333,0.03819228876795413,0.7683646812957157,0.5958730158730159,0.28528138528138525,0.3759834584306219,0.2873434705405307,0.2566632920402613,0.2151648351648352
Pohlia nutans,30,24,0.8122857142857145,0.15145743959631133,0.75,0.2,0.04,0.06666666666666667,0.050709255283710994,0.03461538461538458,0.02571428571428571
Syntrichia ruralis,225,159,0.8122410423740805,0.03440580789308049,0.7908833661417323,0.7486904761904762,0.27661290322580645,0.39690655700053046,0.3582947882262289,0.300143306384476,0.23887167515563096
